no_layers, no_neurons1, no_neurons2, no_neurons3, no_neurons4, epochs, accuracy1, accuracy2
2, 8, 8, 0, 0, 2000, 0.9774, 0
1, 64, 0, 0, 0, 500, 0.9981, 0.9221
2, 64, 64, 0, 0, 500, 0.9998, 0.9346
3, 64, 1, 64, 0, 500, 0.9644, 0
3, 64, 8, 64, 0, 500, 0.9985, 0.9018
3, 2, 8, 64, 0, 500, 0.9520, 0
3, 64, 8, 2, 0, 500, 0.8170, 0
1, 2, 0, 0, 0, 500, 0.6776, 0
2, 8, 8, 0, 0, 500, 0.9791, 0
1, 8, 0, 0, 0 , 500, 0.9977, 0
3, 64, 8, 2, 0, 1000, 0.9654, 0
3, 2, 8, 64, 0, 1000, 0.9331, 0
3, 64, 8, 64, 0, 1000, 0.9291, 0
2, 64, 64, 0, 0, 1000, 0.9739, 0
1, 64, 0, 0, 0, 1000, 0.9935, 0.9345
2, 64, 64, 0, 0, 2000, 0.9522, 0.9176 
4, 2, 2, 2, 2, 2000, 0, 0.9005, 0
1, 2, 0, 0, 0, 2000, 0, 0.9097, 0
1, 2, 0, 0, 0, 500, 0, 0.8332, 0
4, 2, 2, 2, 2, 500, 0, 0.6867, 0
2, 24, 24, 0, 0, 1000, 0, 0.9203, 0
2, 8, 8, 0, 0, 1000, 0, 0.9274, 0
1, 8, 0, 0, 0, 1000, 0, 0.9436, 0
1, 100, 0, 0, 0, 500, 0, 0.8513, 0
1, 120, 0, 0, 0, 500, 0, 0.9102, 0
1, 8, 0, 0, 0, 500, 0, 0.9447, 0
1, 1, 0, 0, 0, 500, 0, 0.4145, 0
1, 4, 0, 0, 0, 500, 0, 0.9415, 0

